age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,target
30,blue-collar,married,secondary,no,1787,yes,no,cellular,19,oct,79,1,-1,0,unknown,no
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,yes
35,management,married,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,management,married,tertiary,no,1476,yes,no,unknown,3,jun,199,4,-1,0,unknown,yes
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,management,single,tertiary,no,747,yes,no,cellular,23,may,141,2,176,3,other,no
36,blue-collar,married,primary,no,307,yes,no,cellular,14,may,341,1,-1,0,unknown,no
39,technician,married,secondary,no,147,yes,no,cellular,6,jul,151,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,221,yes,no,cellular,14,may,57,2,-1,0,unknown,no
43,services,married,primary,no,-88,yes,yes,unknown,17,apr,313,1,-1,0,unknown,yes
20,student,single,secondary,no,0,no,no,cellular,23,sep,250,1,-1,0,unknown,no